Place,Travel time (min),Initial response,Run-up (m),No. waves,Period,Duration of perturbation,Comments
Santiago de Cuba,620,-,-,-,-,-,
Saba,-,-,6.3-7.5,-,-,-,
St. Marin,-,-,4.5 m,-,-,-,The article has «- 4.5 m» in the column for Initial response
Antigua,598,-,3.6,Several,5 min,Until 10 pm,
Barbados,454-560,-,1.5-6,32,15 min,2 pm-10 pm,
Kinsale,260-320,Uplift,1.65,Several,10 min,Till 3 am,
Mount,255-260,Uplift,1.5-1.8,4,10 min,2 pm-7:30 pm,
Penzance,305 (320 Max),Subsidence,2.4,-,-,-,
Newlyn,255-305,Uplift,3,-,10 min,-,
St. Ives,-,-,2.4-2.7,-,-,-,
Hayle,315-360,-,2.1,-,-,-,
Plymouth,360 (380 Max),-,-,-,8 min,30 minutes,
Santander,-,Subsidence,-,3,-,-,
Viveiro,-,Uplift,-,3,-,-,
Betanzos,-,-,-,-,-,All day,
Coruna,-,Uplift,-,4,15 min,Till the night,
Corcubion,135,-,-,-,-,-,
Pontevedra,-,Uplift,2.-3.,3,-,-,
Ayamonte,60,Uplift,-,5,-,-,
Lepe,30,Uplift,-,3,-,-,travel times not reliable
Huelva,55,Uplift,-,-,-,Till midnight,
Mouguer,-,-,-,1,-,-,
S. Barrameda,60,Uplift,-,-,-,-,
S. Regla,75,Uplift,-,2,-,-,
P. Santa Maria,65,Uplift,8,-,-,-,
Carraca,75,-,-,-,-,All afternoon,
Cadiz,70-75\78,Subsidence\Uplift,15,4or5,-,Till midnight,
Sancti-Petri,45,Uplift,-,-,-,-,travel times not reliable
Algeciras,45,-,-,-,-,Till the night,travel times not reliable
Marbella,60,-,-,-,-,-,travel times not reliable
Ceuta,-,-,-,-,-,Till the next day,
Canaria,-,-,-,3,-,-,
Tanger,-,-,-,18,-,Till 6 pm,
Sale,33-40\43-50,Subsidence\Uplift,-,-,-,-,
Safi,-,-,-,-,-,10 am till 6 pm,
Agadir,-,-,-,-,-,10 am till 6 pm,
